Parent,Name,Descriptions
R1,R12,Size and Spatial Distributions of Regional Economic Activity
R1,R13,General Equilibrium and Welfare Economic Analysis of Regional Economies
R1,R14,Land Use Patterns
R1,R15,Econometric and Input..Output Models; Other Models
R1,R19,Other
R,R2,Household Analysis
R2,R20,General
R2,R21,Housing Demand
R2,R22,Other Demand
R2,R23,Regional Migration; Regional Labor Markets; Population
R2,R29,Other
R,R3,Production Analysis and Firm Location
R3,R30,General
R3,R31,Housing Supply and Markets
R3,R32,Other Production and Pricing Analysis
R3,R33,Nonagricultural and Nonresidential Real Estate Markets
R3,R34,Input Demand Analysis
R3,R38,Government Policies; Regulatory Policies
R3,R39,Other
R,R4,Transportation Systems
R4,R40,General
R4,R41,Transportation: Demand; Supply; Congestion; Safety and Accidents
R4,R42,Government and Private Investment Analysis
R4,R48,Government Pricing; Regulatory Policies
R4,R49,Other
R,R5,Regional Government Analysis
R5,R50,General
R5,R51,Finance in Urban and Rural Economies
R5,R52,Land Use and Other Regulations
R5,R53,Public Facility Location Analysis; Public Investment and Capital Stock
R5,R58,Regional Development Policy
R5,R59,Other
,Z,Other Special Topics
Z,Z0,General
Z0,Z00,General
Z,Z1,Cultural Economics
Z1,Z10,General
Z1,Z11,Economics of the Arts and Literature
Z1,Z12,Religion
Z1,Z13,Social Norms and Social Capital
Z1,Z19,Other
